variant,routers,metric,hardware_n,otns_n,hardware_mean_ms,otns_mean_ms,delta_mean_ms,delta_mean_ci95_low_ms,delta_mean_ci95_high_ms,hardware_median_ms,otns_median_ms,delta_median_ms,delta_median_ci95_low_ms,delta_median_ci95_high_ms
ucast,4,full_attach_ms,100,100,272.70725729,272.37224,0.33501728999999614,-38.97745896625001,38.947394680500004,251.12485900000001,284.956,-33.831141,-92.16668003749997,42.72699224999991
ucast,4,parent_request_to_ack_ms,100,100,2.56753469,2.63136,-0.06382530999999991,-0.17726065900000024,0.007582360500000229,2.568007,2.56,0.008007000000000097,0.007052999999999976,0.008007000000000097
ucast,4,parent_request_ack_to_parent_response_ms,100,100,245.7365752,257.49272,-11.756144800000015,-50.706364667249986,27.460246811249974,224.2894175,266.716,-42.426582499999995,-102.987602775,26.529150149999964
ucast,4,parent_response_to_ack_ms,100,99,4.0075518,4.057050505050505,-0.04949870505050491,-0.1636569351515158,0.00763524024999993,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.008054999999999701
ucast,4,parent_response_ack_to_child_id_request_ms,100,99,6.48069144,2.10610101010101,4.374590429898991,3.9881819967171714,4.713937475303029,6.451487500000001,1.576,4.8754875,4.4050455,5.047506499999999
ucast,4,child_id_request_to_ack_ms,100,100,3.84758948,3.9561599999999997,-0.10857051999999978,-0.34096209974999997,0.0076681400000002675,3.847837,3.84,0.007837000000000316,0.0074705625000005245,0.008075999999999972
ucast,4,child_id_request_ack_to_child_id_response_ms,100,100,10.06731507,1.8992,8.168115069999999,7.88313519225,8.447490512,10.103940999999999,1.576,8.527940999999998,7.950926,8.903927
ucast,4,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
fast-attach-corrected,2,parent_request_to_response_ms,100,100,26.46969559,19.25376,7.215935590000001,4.674785391250001,9.69365385925,27.3364785,17.375999999999998,9.9604785,4.165158000000002,13.208695087499997
fast-attach-corrected,2,parent_response_to_child_id_request_ms,100,100,10.875020020000001,5.6655999999999995,5.209420020000001,4.96459043875,5.443689223499999,11.1110215,5.576,5.5350215,5.149277325,5.942997
fast-attach-corrected,2,child_id_request_to_response_ms,100,100,13.79788406,5.672,8.12588406,7.815864146499999,8.404774606250001,13.7114525,5.5760000000000005,8.1354525,7.8719790000000005,8.6280465
fast-attach-corrected,2,full_attach_ms,100,100,51.14259956,30.59136,20.55123956,18.086484413,23.065710784500002,52.301407,29.788,22.513406999999997,17.9104615,26.2145992
fast-attach-corrected,2,parent_request_to_ack_ms,0,0,,,,,,,,,,
fast-attach-corrected,2,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
fast-attach-corrected,2,parent_response_to_ack_ms,100,100,4.00753034,4.0,0.007530339999999747,0.007427820000000196,0.007632870000000125,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.008054999999999701
fast-attach-corrected,2,parent_response_ack_to_child_id_request_ms,100,100,6.86748987,1.6656,5.2018898700000005,4.959934927,5.43449945725,7.1039200000000005,1.576,5.52792,5.11899,5.932439499999999
