platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,3,parent_response_to_child_id_request_ms,100,494.27448746,146.62019187358018,503.36098649999997,252.48277174999998,269.47799885,361.09405775000005,613.5768295,708.7038398999999,244.967937,738.206148,495.59066889999997
otns,stock-low-power,3,child_id_request_to_response_ms,100,5.6624,0.934176588761407,5.416,0.96,4.456,5.096,6.056,7.656,4.456,8.936,5.556
hardware,stock-low-power,3,child_id_request_to_response_ms,100,13.91607759,0.9317691010724359,13.9740705,1.2659432499999994,12.36753445,13.218224,14.484167249999999,15.689444700000001,12.237072,15.915155,13.8934075625
otns,stock-low-power,3,full_attach_ms,100,755.67366,1.5159585107992422,755.6759999999999,2.139500000000112,753.3156,754.5799999999999,756.7195,758.5248,752.536,759.392,755.6405125
hardware,stock-low-power,3,full_attach_ms,100,765.32770629,1.588542814717854,765.5985355,1.9336345000000392,762.5883219,764.35512275,766.28875725,767.81888,761.240005,769.299984,765.38195605
otns,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,3,parent_response_to_ack_ms,100,4.007511249999999,0.000505029659595041,4.0074585,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007524312499999
otns,stock-low-power,3,parent_response_ack_to_child_id_request_ms,100,479.99492,150.00457952333767,497.424,282.52799999999996,256.326,336.382,618.91,686.058,247.84,740.96,480.3155625
hardware,stock-low-power,3,parent_response_ack_to_child_id_request_ms,100,490.26697636,146.62014357832692,499.35400500000003,252.48205600000006,265.47085015,357.08671849999996,609.5687745,704.6967508,240.960836,734.199047,491.583168525
otns,stock-low-power,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,3,child_id_request_to_ack_ms,100,3.84759905,0.000556838720915632,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476049625
otns,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,100,1.8224,0.934176588761407,1.576,0.9600000000000002,0.616,1.256,2.216,3.816,0.616,5.096,1.716
hardware,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,100,10.0684786,0.9317506587525972,10.1264715,1.2652280000000005,8.52037665,9.3711615,10.6363895,11.8425011,8.388996,12.068033,10.045769825
otns,stock-low-power,3,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock-low-power,3,adjusted_parent_request_to_response_ms,100,9.75714123,1.00994681801464,9.8494025,1.4106379999999987,7.83452105,8.995247500000001,10.4058855,11.328694650000001,7.668053,12.728903,9.772595275
otns,stock-low-power,4,parent_request_to_response_ms,100,245.43424,153.05490335422155,248.436,278.134,15.494,101.676,379.81,482.5936,4.736,503.679,244.1188125
hardware,stock-low-power,4,parent_request_to_response_ms,100,280.21042111,133.24652520510855,292.27709749999997,244.28909975000005,76.32287720000001,151.90923225,396.19833200000005,465.8891437,35.03418,508.68392,282.4766516875
otns,stock-low-power,4,parent_response_to_child_id_request_ms,100,504.41525,153.046362698827,500.352,275.85599999999994,266.40680000000003,370.944,646.8,735.6764,244.56,744.552,505.7573625
