platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock-low-power,3,parent_response_to_child_id_request_ms,99,485.4340606060606,150.07249505460572,501.6,284.7320000000001,260.092,339.448,624.1800000000001,690.9479999999999,251.84,744.96,485.82327160493827
hardware,stock-low-power,3,parent_response_to_child_id_request_ms,97,496.26698441237113,145.27755541415826,510.612011,245.836973,270.8021162,365.72814,611.565113,709.3149185999999,244.967937,738.206148,497.7655229493671
otns,stock-low-power,3,child_id_request_to_response_ms,99,5.668121212121212,0.9371681973134056,5.416,0.96,4.456,5.096,6.056,7.656,4.456,8.936,5.570074074074074
hardware,stock-low-power,3,child_id_request_to_response_ms,97,13.904864,0.9414527808033134,13.936043,1.271248,12.3655318,13.206959,14.478207,15.696811799999999,12.237072,15.915155,13.879881607594937
otns,stock-low-power,3,full_attach_ms,99,755.6870101010101,1.5177536468577497,755.68,2.102999999999952,753.3112000000001,754.64,756.7429999999999,758.5296,752.536,759.392,755.6546296296297
hardware,stock-low-power,3,full_attach_ms,97,765.3242312268042,1.607881797538635,765.63406,2.0010469999999714,762.5770566,764.286995,766.288042,767.821598,761.240005,769.299984,765.3742439620253
otns,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_response_to_ack_ms,99,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,3,parent_response_to_ack_ms,97,4.007523938144329,0.0005075462789742996,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007538734177215
otns,stock-low-power,3,parent_response_ack_to_child_id_request_ms,99,481.4340606060606,150.07249505460572,497.6,284.7320000000001,256.092,335.448,620.1800000000001,686.9479999999999,247.84,740.96,481.82327160493827
hardware,stock-low-power,3,parent_response_ack_to_child_id_request_ms,97,492.259460628866,145.27751100829607,506.60491,245.836973,266.794062,361.720085,607.557058,705.3078652,240.960836,734.199047,493.75800846835443
otns,stock-low-power,3,child_id_request_to_ack_ms,99,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,3,child_id_request_to_ack_ms,97,3.847596587628866,0.0005564959147905236,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.847599
otns,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,99,1.828121212121212,0.9371681973134057,1.576,0.9600000000000002,0.616,1.256,2.216,3.816,0.616,5.096,1.730074074074074
hardware,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,97,10.057267474226805,0.9414420727713646,10.088921,1.2700560000000003,8.5182666,9.360075,10.630131,11.849689399999999,8.388996,12.068033,10.032249430379746
otns,stock-low-power,3,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock-low-power,3,adjusted_parent_request_to_response_ms,97,9.770939505154638,1.0038283320709869,9.857933,1.3958449999999996,7.8330302,9.0,10.395845,11.3314176,7.668053,12.728903,9.786133037974684
otns,stock-low-power,4,parent_request_to_response_ms,96,244.29384375,149.91860711826465,248.436,272.562,26.165999999999997,101.676,374.238,480.168,4.736,496.048,242.93980769230768
hardware,stock-low-power,4,parent_request_to_response_ms,92,281.27574664130435,134.03175726836972,308.006525,244.28909975000005,76.75954095,151.90923225,396.19833200000005,471.43514130000005,35.03418,508.68392,283.478753
otns,stock-low-power,4,parent_response_to_child_id_request_ms,96,505.59063541666666,149.8805454999779,500.352,272.01399999999995,267.36199999999997,374.786,646.8,724.39,254.52,744.552,506.9162692307692
hardware,stock-low-power,4,parent_response_to_child_id_request_ms,92,470.3188045869565,134.47193739479002,443.65847099999996,245.07367599999992,279.4609067,354.9172875,599.9909634999999,675.0514864,242.307901,719.669819,468.17396135135135
