platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,fast-attach-corrected,3,child_id_request_to_response_ms,15.336,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_085/baseline_summary_20260919T112908Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,parent_response_to_child_id_request_ms,17.736,2.3760000000000003,9.096,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_072/baseline_summary_20260919T112905Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,parent_response_to_child_id_request_ms,9.672,2.3760000000000003,9.096,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_093/baseline_summary_20260919T112918Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,13.416,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_019/baseline_summary_20260919T112831Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,14.696,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_030/baseline_summary_20260919T112837Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,15.016,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_047/baseline_summary_20260919T112849Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,15.656,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_048/baseline_summary_20260919T112849Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,14.056,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_052/baseline_summary_20260919T112853Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,12.776,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_053/baseline_summary_20260919T112854Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,4,child_id_request_to_response_ms,13.672,0.935999999999999,9.896,results/smoke/fast-attach-corrected-4routers-pcap-validation-20260919/run_062/baseline_summary_20260919T112900Z.json,False,False,valid_complete_sequence_long_tail,retained
